log_name;max. runtime;min_runtime;avg_runtime;max_messages;min_messages;avg_messages;max. neg;min. neg;avg. neg;warnings;Wind;Abfall;Gas;PV;ext_grid;used_Wind_potential;used_Abfall_potential;used_Gas_potential;used_PV_potential;3;3_outages;2;2_outages;1;1_outages
Ethical Agent tts 8 rest 50 wind to 200% req 0.2 rep 0.1.log;34.24791002;5.079314709;13.7962719;274464;104740;148601.4211;1.000001757;1.000000275;1.00000078;0;0.792684797;0.187351172;0;0.002544541;-7.80E-07;0.463062596;0.633731922;0;0.335294996;3;0;2;0;1;0
Ethical Agent tts 8 rest 50 wind to 200% req 0.2 rep 0.2.log;33.9850769;5.070045233;13.61422983;211832;99905;146743.5158;1.000001757;1.000000275;1.00000078;0;0.797776367;0.184889021;0;0.002517637;-7.80E-07;0.459646944;0.631295961;0;0.335366915;3;0;2;0;1;0
Ethical Agent tts 8 rest 50 wind to 200% req 0.2 rep 0.3.log;42.97693586;5.265128374;27.36691416;207955;99240;134225.3263;1.000001757;0.993049435;0.99768187;0;0.817747428;0.168326066;0;0.002360881;0.00231813;0.480756051;0.579888594;0;0.336475728;3;0;2;0;1;0
Ethical Agent tts 8 rest 50 wind to 200% req 0.2 rep 0.4.log;490.8012302;4.976731539;18.95083928;303773;103258;145016.2292;1.000001757;0.995339632;0.999952226;0;0.867404807;0.127356864;0;0.002648289;4.78E-05;0.494800995;0.443520258;0;0.342558786;3;0;2;0;1;0
Ethical Agent tts 8 rest 50 wind to 200% req 0.2 rep 0.5.log;43.98143315;5.04744339;15.22133965;263359;100778;142083.8;1.000001757;1.000000275;1.00000078;0;0.875982419;0.117542843;0;0.002485291;-7.80E-07;0.493421386;0.373275823;0;0.336274689;3;0;2;0;1;0
Ethical Agent tts 8 rest 50 wind to 200% req 0.2 rep 0.6.log;42.40329576;5.081767797;14.30778242;253785;102478;147251.2421;1.000001757;1.000000275;1.00000078;0;0.900762671;0.09364102;0;0.002570765;-7.80E-07;0.507106773;0.316598013;0;0.335952613;3;0;2;0;1;0
Ethical Agent tts 8 rest 50 wind to 200% req 0.2 rep 0.7.log;43.8403008;5.222139597;14.21216162;263432;101918;143192.2947;1.000001757;1.000000275;1.00000078;0;0.890485007;0.105163644;0;0.002501472;-7.80E-07;0.511565726;0.328783521;0;0.336423152;3;0;2;0;1;0
Ethical Agent tts 8 rest 50 wind to 200% req 0.2 rep 0.8.log;45.50518727;5.084385872;15.60409837;292490;99483;143501.3053;1.000001757;1.000000275;1.00000078;0;0.89015306;0.104422724;0;0.002494072;-7.80E-07;0.504849794;0.331348692;0;0.336077636;3;0;2;0;1;0
Ethical Agent tts 8 rest 50 wind to 200% req 0.2 rep 0.9.log;42.35593605;4.964454174;16.0159096;290577;100201;141838.6842;1.000001757;1.000000275;1.00000078;0;0.900230586;0.094903533;0;0.002445428;-7.80E-07;0.51830283;0.290533346;0;0.336118593;3;0;2;0;1;0
Ethical Agent tts 8 rest 50 wind to 200% req 0.2 rep 1.0.log;107.3225369;4.930509806;99.04501699;181510;96680;124469.9368;1.000000933;0.919489378;0.932510774;0;0.903456196;0.102352915;0;0.002500615;0.067489226;0.504615758;0.308619617;0;0.336087144;3;0;2;0;1;0
Ethical Agent tts 12 rest 50 wind to 200% req 0.2 rep 1.0.log;49.79375911;4.958093882;18.12956481;313556;99377;142951.4105;1.000001757;1.000000275;1.00000078;0;0.910263663;0.085139022;0;0.002454446;-7.80E-07;0.510281274;0.269246994;0;0.336733829;3;0;2;0;1;0
Ethical Agent tts 13 rest 50 wind to 200% req 0.2 rep 1.1.log;63.28410506;4.908382654;21.96049557;323496;97640;139574.3684;1.000001757;0.999257671;1.00000078;0;0.909749634;0.087044003;0;0.002395909;0.000161236;0.523714146;0.26938033;0;0.33654689;3;0;2;0;1;0
Ethical Agent tts 14 rest 50 wind to 200% req 0.2 rep 1.2.log;121.719166;5.007172108;70.884923;209974;92739;129024.1684;1.000001757;0.934975798;1.00000078;0;0.909749634;0.086763332;0;0.001169473;0.038225953;0.496271242;0.269887305;0;0.336547264;3;0;2;0;1;0
Ethical Agent tts 15 rest 50 wind to 200% req 0.2 rep 1.3.log;78.25798941;4.916208267;50.02538306;174523;99880;132430.1158;1.000001757;0.994892963;1.00000078;0;0.913303649;0.080938037;0;0.001916484;0.003216901;0.52551012;0.249400077;0;0.336690418;3;0;2;0;1;0
Ethical Agent tts 16 rest 50 wind to 200% req 0.2 rep 1.4.log;121.9094577;5.055922985;97.47219326;194024;89640;120368.3895;1.000001601;0.934975798;1.00000078;0;0.913563626;0.088460559;0;0.001250621;0.051174709;0.50419736;0.262477212;0;0.336730496;3;0;2;0;1;0
Ethical Agent tts 20 rest 50 wind to 200% req 0.2 rep 1.5.log;270.0478461;4.838244677;214.853963;165017;98920;123813.9368;1.000001601;0.919489378;1.00000078;0;0.913121856;0.089293906;0;0.002496198;0.060394759;0.504024578;0.258087691;0;0.336744308;3;0;2;0;1;0
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
