log_name;max. runtime;min_runtime;avg_runtime;max_messages;min_messages;avg_messages;max. neg;min. neg;avg. neg;warnings;Wind;Abfall;Gas;PV;ext_grid;used_Wind_potential;used_Abfall_potential;used_Gas_potential;used_PV_potential;4;4_outages;3;3_outages;2;2_outages;1;1_outages
Base Agent tts 5 rest 50 wind at 0% diff ethics.log;50.89135528;28.55486369;39.89817594;275302;73963;137455.4211;0.666403919;0.132431746;0.375873029;0;0.000573156;0.337153159;0.035866297;0.002853572;0.283543024;0.33677259;0.99856851;0.684210524;0.336384615;4.133764391;281;3.259954233;1259;2.102117925;149;0;0
Base Agent tts 5 rest 50 wind at 25% diff ethics.log;108.9747522;20.91103673;52.62528255;343964;132574;226434.0947;1.000001165;0.20999841;0.560916737;0;0.20762548;0.316364917;0.034646542;0.002852954;-0.087764148;0.969975047;0.912656287;0.62726583;0.336384582;4.064708173;145;3.216053714;1115;2.085669741;146;0;0
Base Agent tts 5 rest 50 wind at 50% diff ethics.log;220.6793547;7.510197878;51.37228036;352042;126183;225206.3158;1.000001757;0.395623799;0.801233956;0;0.508407822;0.254729076;0.035816641;0.002853572;-0.567228486;0.95706726;0.829200657;0.682615008;0.336384615;4.012884457;35;3.074611361;427;2.029704306;48;0;0
Base Agent tts 5 rest 50 wind at 75% diff ethics.log;215.8102136;7.391298771;44.74314128;375051;123627;222962.3579;1.000001757;0.536640264;0.894391801;0;0.611454932;0.244790156;0.035866297;0.002853572;-0.753494521;0.869331146;0.813889447;0.684210524;0.336384615;4.00239115;7;3.044044384;236;2.007388915;12;0;0
Base Agent tts 5 rest 50 wind at 100% diff ethics.log;160.0703359;6.694087744;36.6430965;373661;118287;221636.8632;1.000001757;0.463214828;0.951736676;0;0.690227835;0.224255723;0.034972703;0.002853572;-0.869077865;0.741217262;0.75238895;0.678801407;0.336384615;4.002089501;10;3.020226042;115;2.005609564;11;0;0
Base Agent tts 5 rest 50 wind at 125% diff ethics.log;125.8744254;6.17814827;31.98302658;385815;117235;214725.3895;1.000001757;0.834506733;0.988811105;0;0.719731662;0.23093273;0.035866297;0.002853572;-0.942333128;0.667925058;0.773341667;0.684210524;0.336384615;4;0;3.006380755;29;2;0;0;0
Base Agent tts 5 rest 50 wind at 150% diff ethics.log;51.83631182;5.533573151;24.06721947;456828;117926;212463.7053;1.000001757;0.567091322;0.992710133;0;0.73507235;0.220336829;0.035020538;0.002853412;-0.950976784;0.570846094;0.743388359;0.67864147;0.335819695;4.001730172;6;3.003171333;25;2.00276864;7;0;0
Base Agent tts 5 rest 50 wind at 175% diff ethics.log;45.51764393;4.997674227;23.6592863;446491;115000;209826.0947;1.000001757;0.661654879;0.996439246;0;0.734717813;0.223574991;0.035866297;0.002853301;-0.957589412;0.529585595;0.732560053;0.684210524;0.336363492;4.00058114;2;3.001516018;12;2.000830201;2;0;0
Base Agent tts 5 rest 50 wind at 200% diff ethics.log;50.77614832;5.037904978;22.60049961;484540;115000;211391.4632;1.000001757;0.719646906;0.99304929;0;0.743378588;0.212004735;0.035385552;0.00285357;-0.951290242;0.47682605;0.689720245;0.681245053;0.336495516;4.000849895;3;3.003640321;28;2.002346361;6;0;0
Ethical Agent tts 5 rest 50 wind at 0% diff ethics.log;50.83609867;21.38377118;33.21159758;185708;49050;87887.89474;0.666403919;0.132431746;0.376129031;0;0.000573156;0.337409161;0.035866297;0.002853572;0.28303102;0.33677259;0.999999999;0.684210524;0.336384615;4.129436906;281;3.284958057;1410;2.230302971;401;0;0
