Time,0-load-0-15.p_mw,0-load-1-17.p_mw,0-load-10-35.p_mw,0-load-11-37.p_mw,0-load-12-40.p_mw,0-load-13-44.p_mw,0-load-14-45.p_mw,0-load-15-47.p_mw,0-load-16-48.p_mw,0-load-17-49.p_mw,0-load-18-50.p_mw,0-load-19-52.p_mw,0-load-2-19.p_mw,0-load-20-53.p_mw,0-load-21-56.p_mw,0-load-22-57.p_mw,0-load-23-59.p_mw,0-load-24-60.p_mw,0-load-25-61.p_mw,0-load-26-62.p_mw,0-load-27-63.p_mw,0-load-28-65.p_mw,0-load-29-67.p_mw,0-load-3-20.p_mw,0-load-30-69.p_mw,0-load-31-70.p_mw,0-load-32-71.p_mw,0-load-33-73.p_mw,0-load-34-74.p_mw,0-load-35-75.p_mw,0-load-36-76.p_mw,0-load-37-77.p_mw,0-load-38-78.p_mw,0-load-39-80.p_mw,0-load-4-24.p_mw,0-load-5-25.p_mw,0-load-6-28.p_mw,0-load-7-30.p_mw,0-load-8-32.p_mw,0-load-9-33.p_mw
2017-01-01 00:00:00,0.0151,0.076,0.962,0.962,1.19,0.353,0.334,0.0671,0.136,0.327,0.818,0.429,0.985,0.834,0.0785,0.391,0.105,0.0896,0.102,0.0888,0.818,0.705,0.641,1.06,0.00505,0.297,0.93,0.134,0.0941,0.0941,0.0941,0.0941,0.0941,0.025,0.868,1.11,0.971,1.06,0.00464,1.36
2017-01-01 00:15:00,0.0152,0.0908,1.15,1.15,1.42,0.361,0.4,0.0672,0.136,0.328,0.977,0.43,0.987,0.996,0.0786,0.468,0.108,0.0897,0.104,0.0908,0.977,0.843,0.767,1.26,0.00505,0.297,1.11,0.135,0.0961,0.0961,0.0961,0.0961,0.0961,0.0299,0.869,1.32,1.16,1.26,0.0045,1.63
2017-01-01 00:30:00,0.0148,0.0842,1.07,1.07,1.31,0.363,0.37,0.0657,0.133,0.32,0.906,0.42,0.965,0.924,0.0768,0.433,0.108,0.0877,0.104,0.0913,0.906,0.781,0.71,1.17,0.00494,0.291,1.03,0.132,0.0967,0.0967,0.0967,0.0967,0.0967,0.0277,0.85,1.23,1.08,1.17,0.00438,1.51
2017-01-01 00:45:00,0.0145,0.0779,0.986,0.986,1.22,0.366,0.343,0.0641,0.13,0.312,0.838,0.41,0.941,0.854,0.0749,0.401,0.109,0.0855,0.105,0.092,0.838,0.723,0.657,1.08,0.00482,0.283,0.953,0.128,0.0975,0.0975,0.0975,0.0975,0.0975,0.0256,0.829,1.13,0.995,1.08,0.00431,1.4
2017-01-01 01:00:00,0.0142,0.0717,0.908,0.908,1.12,0.37,0.316,0.0629,0.128,0.307,0.772,0.402,0.924,0.787,0.0736,0.369,0.11,0.084,0.107,0.0931,0.772,0.666,0.605,0.999,0.00473,0.278,0.878,0.126,0.0987,0.0987,0.0987,0.0987,0.0987,0.0236,0.814,1.04,0.917,0.999,0.00431,1.29
2017-01-01 01:15:00,0.0141,0.0658,0.833,0.833,1.03,0.375,0.29,0.0624,0.127,0.304,0.708,0.399,0.917,0.722,0.073,0.339,0.112,0.0833,0.108,0.0944,0.708,0.611,0.555,0.916,0.0047,0.276,0.805,0.125,0.1,0.1,0.1,0.1,0.1,0.0217,0.808,0.958,0.841,0.916,0.00438,1.18
2017-01-01 01:30:00,0.0141,0.0604,0.765,0.765,0.943,0.38,0.266,0.0624,0.127,0.304,0.65,0.399,0.917,0.663,0.073,0.311,0.113,0.0833,0.109,0.0955,0.65,0.561,0.51,0.841,0.0047,0.276,0.739,0.125,0.101,0.101,0.101,0.101,0.101,0.0199,0.808,0.879,0.772,0.841,0.00449,1.08
2017-01-01 01:45:00,0.0141,0.0556,0.704,0.704,0.869,0.382,0.245,0.0627,0.127,0.305,0.599,0.401,0.92,0.61,0.0733,0.286,0.114,0.0837,0.11,0.096,0.599,0.516,0.47,0.775,0.00471,0.277,0.681,0.126,0.102,0.102,0.102,0.102,0.102,0.0183,0.811,0.81,0.711,0.775,0.00459,0.998
2017-01-01 02:00:00,0.0142,0.0518,0.656,0.656,0.809,0.38,0.228,0.0629,0.128,0.307,0.557,0.402,0.924,0.568,0.0736,0.267,0.113,0.084,0.109,0.0956,0.557,0.481,0.437,0.721,0.00473,0.278,0.634,0.126,0.101,0.101,0.101,0.101,0.101,0.017,0.814,0.754,0.662,0.721,0.00464,0.929
2017-01-01 02:15:00,0.0142,0.0491,0.622,0.622,0.767,0.374,0.216,0.0629,0.128,0.307,0.528,0.402,0.924,0.539,0.0736,0.253,0.112,0.084,0.108,0.0941,0.528,0.456,0.414,0.684,0.00473,0.278,0.601,0.126,0.0996,0.0996,0.0996,0.0996,0.0996,0.0162,0.814,0.715,0.628,0.684,0.00461,0.88
