0-sgen-18-55.p_mw,0-sgen-8-32.p_mw
8.786207,0.0
8.605172,0.0
8.650348,0.0
8.484483,0.0
8.774138,0.0
8.206897,0.0
7.736207,0.0
7.205172,0.0
7.92931,0.0
8.894828,0.0
8.715517,0.0
7.567241,0.0
8.146552,0.0
7.253448,0.0
7.977586,0.0
7.615517,0.0
7.482759,0.0
6.505172,0.0
6.601724,0.0
7.289655,0.0
7.748276,0.0
6.915517,0.0
6.65,0.0
6.601724,0.0
6.939655,0.0
7.132759,0.0
7.555172,0.074458
7.35,0.100715
6.263793,0.214739
5.503448,0.185381
4.694828,0.207953
6.891379,0.217336
5.781034,0.188082
6.118966,0.227102
7.22931,0.291459
6.65,0.359537
6.915517,0.345957
6.541379,0.490691
6.131034,0.58253
6.903448,0.580559
7.205172,0.544105
7.386207,0.521312
6.372414,0.520464
6.505172,0.55238
5.925862,0.53908
5.044828,0.492363
4.972414,0.560707
7.506897,0.666728
6.855172,0.679356
5.962069,0.688922
8.025862,0.663614
7.543103,0.86646
6.625862,1.004106
7.060345,1.375673
6.782759,1.536777
8.098276,2.222317
8.134483,2.233517
7.92931,2.413515
8.556897,2.360147
6.022414,2.543545
7.796552,2.728267
7.374138,2.903484
7.687931,3.114275
8.146552,3.218564
8.544828,3.424932
7.784483,3.755723
8.412069,3.915507
7.362069,4.110396
8.75,4.450646
7.832759,4.08537
8.255172,3.938981
8.455862,3.80415
8.556897,3.588501
8.691379,3.511038
8.025862,3.230666
8.025862,3.09843
8.834483,2.843381
7.868966,2.654635
8.315517,2.348283
7.760345,2.296342
8.454517,2.187411
8.356897,2.042832
7.651724,1.986466
8.243103,1.876203
8.505172,1.667716
8.582759,1.332939
7.808621,1.134765
8.762069,0.774723
8.774138,0.556145
8.556897,0.348288
5.708621,0.181231
7.506897,0.0
6.637931,0.0
7.760345,0.0
6.987931,0.0
7.868966,0.0
